topic_id,video_count,median_views,median_like_rate,top_category,category_mix,topic_label,dominant_category_share
4,1036,8360.5,0.041409371594624045,fitness,"{'fitness': 1016, 'research_science': 9, 'tech': 6, 'entertainment': 3, 'food': 1, 'gaming': 1}",4_yoga_routine_exercise_stretching,0.9806949806949807
59,76,5121.0,0.04040690650045049,gaming,"{'gaming': 55, 'entertainment': 13, 'research_science': 5, 'food': 2, 'tech': 1}",59_dinosaur_jurassic_dinosaurs_rex,0.7236842105263158
65,52,3425.0,0.0014031162686675299,entertainment,{'entertainment': 52},65_star wars_credits writers_producer_original,1.0
88,57,3395.0,0.01448400724200362,fitness,"{'fitness': 50, 'gaming': 4, 'food': 3}",88_makeover_surgery_dress_mother,0.8771929824561403
64,71,2432.0,0.025735294117647058,food,"{'food': 62, 'research_science': 4, 'gaming': 2, 'entertainment': 1, 'fitness': 1, 'tech': 1}",64_pig_meat_harvest_farm,0.8732394366197183
73,65,1066.0,0.03996366939146231,food,"{'food': 60, 'research_science': 2, 'entertainment': 1, 'tech': 1, 'fitness': 1}",73_cheese_beginners_supplies_craft,0.9230769230769231
57,115,950.0,0.03178844274575253,gaming,"{'gaming': 63, 'tech': 21, 'research_science': 11, 'fitness': 9, 'entertainment': 7, 'food': 4}",57_ride_trail_riding_bikes,0.5478260869565217
36,157,705.0,0.01620489255304771,gaming,"{'gaming': 85, 'entertainment': 60, 'research_science': 6, 'tech': 4, 'fitness': 2}",36_subtitles_composer_subtitle_song,0.5414012738853503
50,92,64.0,0.0477216879239416,food,"{'food': 48, 'entertainment': 17, 'fitness': 14, 'tech': 9, 'gaming': 2, 'research_science': 2}",50_january_month_jan_december,0.5217391304347826
79,39,20.0,0.02294729576241706,fitness,"{'fitness': 16, 'food': 9, 'gaming': 9, 'tech': 4, 'entertainment': 1}",79_ghost_vengeance_haunted_warrior,0.41025641025641024
60,71,1.0,0.015069129774504654,food,"{'food': 51, 'entertainment': 5, 'gaming': 5, 'research_science': 5, 'tech': 3, 'fitness': 2}",60_soundtrack_music video_playlist_song,0.7183098591549296
